Tamanho Hairpin sem Loop,Entropia_HP_S_Loop,HP_S_Loop_state_change,GC_Inicial_Hairpin
0,0.002,0,0
0,0.9185,0.0312,0.0833
0,0.9185,0.0312,0
0,0.9185,0.0938,0
0,0.9185,0.0312,0.1667
0,0.9185,0.0938,0.0833
0,0.002,0,0.25
0,0.9185,0.0938,0.1667
0,0.002,0.0312,0.25
0,0.002,0.0938,0.25
0,0.002,0.0312,0
0,0.002,0.0938,0
0.0465,0.002,0,0
0.0465,0.8117,0.0312,0.0833
0.0465,0.8117,0.0312,0
0.0465,0.8117,0.0938,0
0.0465,1,0.0312,0.1667
0.0465,1,0.0312,0
0.0465,1,0.0938,0.0833
0.0465,1,0.0938,0
0.0465,1,0.1562,0
0.0465,1,0.1562,0.0833
0.0465,0.8117,0.0312,0.25
0.0465,0.8117,0.0938,0.1667
0.0465,0.8117,0.0938,0.0833
0.0465,0.002,0,0.3333
0.0465,1,0.0938,0.1667
0.0465,0.8117,0.0938,0.25
0.0465,0.8117,0.1562,0.25
0.0465,0.8117,0.1562,0.0833
0.0465,0.8117,0.1562,0.1667
0.0465,0.8117,0.1562,0
0.0465,0.002,0.0312,0.3333
0.0465,0.002,0.0938,0.3333
0.0465,0.002,0.1562,0.3333
0.0465,0.002,0.0312,0
0.0465,0.002,0.0938,0
0.0465,1,0.1562,0.1667
0.0465,0.002,0.1562,0
0.093,0.002,0,0
0.093,0.7225,0.0312,0.0833
0.093,0.7225,0.0312,0
0.093,0.7225,0.0938,0
0.093,0.9711,0.0312,0.1667
0.093,0.9711,0.0312,0
0.093,0.9711,0.1562,0
0.093,0.9711,0.0938,0
0.093,0.9711,0.2188,0
0.093,0.9711,0.0938,0.0833
0.093,0.9711,0.1562,0.0833
0.093,0.9711,0.0312,0.25
0.093,0.9711,0.1562,0.1667
0.093,0.9711,0.2188,0.0833
0.093,0.9711,0.0938,0.1667
0.093,0.7225,0.0312,0.3333
0.093,0.7225,0.0938,0.25
0.093,0.7225,0.0938,0.0833
0.093,0.7225,0.0938,0.1667
0.093,0.002,0,0.4167
0.093,0.9711,0.0938,0.25
0.093,0.9711,0.1562,0.25
0.093,0.9711,0.2188,0.1667
0.093,0.7225,0.0938,0.3333
0.093,0.7225,0.1562,0.3333
0.093,0.7225,0.1562,0
0.093,0.7225,0.2188,0.0833
0.093,0.7225,0.1562,0.25
0.093,0.7225,0.1562,0.1667
0.093,0.7225,0.1562,0.0833
0.093,0.7225,0.2188,0.25
0.093,0.002,0.0312,0.4167
0.093,0.002,0.0938,0.4167
0.093,0.7225,0.2188,0.3333
0.093,0.7225,0.2188,0
0.093,0.7225,0.2188,0.1667
0.093,0.002,0.2188,0.4167
0.093,0.002,0.1562,0.4167
0.093,0.002,0.0312,0
0.093,0.002,0.0938,0
0.093,0.9711,0.2188,0.25
0.093,0.002,0.1562,0
0.093,0.002,0.2188,0
0.1395,0.002,0,0
0.1395,0.6507,0.0312,0.0833
