U%_10_U_tract,U%_6_U_tract,A%_6_U_tract,C%_U_tract,U_Tract_state-change,Entropia_U_tract
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0909,0.2069
0.0,0.0,0.0,0.0,0.0909,0.325
0.0,0.0,0.0,0.0,0.0909,0.4056
0.0,0.0,0.0,0.0,0.0909,0.4591
0.0,0.0,0.0,0.0,0.0909,0.4899
0.0,0.0,0.0,0.0,0.0909,0.5
0.0,0.0,0.0,0.0,0.1818,0.2069
0.0,0.0,0.0,0.0,0.1818,0.325
0.0,0.0,0.0,0.0,0.1818,0.4056
0.0,0.0,0.0,0.0,0.1818,0.4083
0.0,0.0,0.0,0.0,0.1818,0.4591
0.0,0.0,0.0,0.0,0.1818,0.4899
0.0,0.0,0.0,0.0,0.1818,0.5204
0.0,0.0,0.0,0.0,0.1818,0.5944
0.0,0.0,0.0,0.0,0.1818,0.6258
0.0,0.0,0.0,0.0,0.1818,0.6403
0.0,0.0,0.0,0.0,0.1818,0.6625
0.0,0.0,0.0,0.0,0.1818,0.6922
0.0,0.0,0.0,0.0,0.1818,0.7296
0.0,0.0,0.0,0.0,0.2727,0.325
0.0,0.0,0.0,0.0,0.2727,0.4056
0.0,0.0,0.0,0.0,0.2727,0.4083
0.0,0.0,0.0,0.0,0.2727,0.4591
0.0,0.0,0.0,0.0,0.2727,0.4899
0.0,0.0,0.0,0.0,0.2727,0.5204
0.0,0.0,0.0,0.0,0.2727,0.5944
0.0,0.0,0.0,0.0,0.2727,0.6258
0.0,0.0,0.0,0.0,0.2727,0.6403
0.0,0.0,0.0,0.0,0.2727,0.6625
0.0,0.0,0.0,0.0,0.2727,0.6922
0.0,0.0,0.0,0.0,0.3636,0.325
0.0,0.0,0.0,0.0,0.3636,0.4056
0.0,0.0,0.0,0.0,0.3636,0.4083
0.0,0.0,0.0,0.0,0.3636,0.4591
0.0,0.0,0.0,0.0,0.3636,0.5204
0.0,0.0,0.0,0.0,0.3636,0.5944
0.0,0.0,0.0,0.0,0.3636,0.6258
0.0,0.0,0.0,0.0,0.3636,0.6403
0.0,0.0,0.0,0.0,0.3636,0.6922
0.0,0.0,0.0,0.0,0.4545,0.4056
0.0,0.0,0.0,0.0,0.4545,0.4591
0.0,0.0,0.0,0.0,0.4545,0.5204
0.0,0.0,0.0,0.0,0.4545,0.5944
0.0,0.0,0.0,0.0,0.4545,0.6258
0.0,0.0,0.0,0.0,0.4545,0.6403
0.0,0.0,0.0,0.0,0.5455,0.4056
0.0,0.0,0.0,0.0,0.5455,0.5204
0.0,0.0,0.0,0.0,0.5455,0.5944
0.0,0.0,0.0,0.0833,0.0909,0.2069
0.0,0.0,0.0,0.0833,0.1818,0.2069
0.0,0.0,0.0,0.0833,0.1818,0.4083
0.0,0.0,0.0,0.0833,0.1818,0.5204
0.0,0.0,0.0,0.0833,0.1818,0.5944
0.0,0.0,0.0,0.0833,0.1818,0.6403
0.0,0.0,0.0,0.0833,0.1818,0.6625
0.0,0.0,0.0,0.0833,0.2727,0.4083
0.0,0.0,0.0,0.0833,0.2727,0.5204
0.0,0.0,0.0,0.0833,0.2727,0.5944
0.0,0.0,0.0,0.0833,0.2727,0.6038
0.0,0.0,0.0,0.0833,0.2727,0.6403
0.0,0.0,0.0,0.0833,0.2727,0.6625
0.0,0.0,0.0,0.0833,0.2727,0.7091
0.0,0.0,0.0,0.0833,0.2727,0.7755
0.0,0.0,0.0,0.0833,0.2727,0.807
0.0,0.0,0.0,0.0833,0.2727,0.8129
0.0,0.0,0.0,0.0833,0.2727,0.825
0.0,0.0,0.0,0.0833,0.2727,0.8648
0.0,0.0,0.0,0.0833,0.2727,0.8921
0.0,0.0,0.0,0.0833,0.3636,0.4083
0.0,0.0,0.0,0.0833,0.3636,0.5204
0.0,0.0,0.0,0.0833,0.3636,0.5944
0.0,0.0,0.0,0.0833,0.3636,0.6038
0.0,0.0,0.0,0.0833,0.3636,0.6403
0.0,0.0,0.0,0.0833,0.3636,0.6625
0.0,0.0,0.0,0.0833,0.3636,0.7091
